npm notice run levelflow-cloud@0.1.0 npx
npm notice run 'tsx' scripts/grid-totalr.ts sweeps/4c/shard-0.jsonl sweeps/4c/shard-1.jsonl sweeps/4c/shard-2.jsonl sweeps/4c/shard-3.jsonl sweeps/4c/shard-4.jsonl sweeps/4c/shard-5.jsonl sweeps/4c/shard-6.jsonl sweeps/4c/shard-7.jsonl --baseline confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=1 --permutations 1000 --seed 7
folds: fit=fit select=select (legacy two-split corpus) · holdout 3 markets excluded
corpus 3c47e2036e1b · engine 2026.08.11.engine-v2 · anchor 2026-08-11

=== CRYPTO ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
baseline                          -1.9     -1.0    0.998   -0.000    0.0   0.00     -28.1  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=3     270.1     -8.8    1.000    0.001    0.0   0.00     -28.1  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=1     392.4    835.9    0.001    0.082    0.0   0.01     -26.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=3     680.5    828.5    0.001    0.084    0.0   0.01     -26.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     832.5   2048.7    0.001    0.159    0.2   0.03     -22.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3    1205.5   2031.2    0.001    0.162    0.2   0.03     -24.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1    1002.2   2677.0    0.001    0.193    0.0   0.05     -25.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3    1431.1   2760.5    0.001    0.201   -0.4   0.06     -25.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1     888.0    192.0    0.001    0.013    0.0   0.00     -32.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3    1376.6    203.8    0.001    0.015    0.0   0.00     -32.3  ACCEPT — fit+select, paired p, expectancy holds
