corpus 021821537f28 · engine 2026.09.01.platinum-group-rate-inverse · anchor 2026-08-26 · variant baseline
folds read: fit, select · confirm: SEALED, not read (2141527 rows withheld at the door)
rows 6634732: 346226 priced · 857954 not accepted · 0 in other folds · 3118950 other variants · 75920 unfilled · 442 data-absent · 93713 held out
control: 346226 rows reproduced their emitted realizedR at the shipped fraction 0.5 (tolerance 0.00011)
holdout: stratified-per-class-20pct — 20 markets excluded from every class pool (pinned docs/research/r4/holdout-2026-08-26.json); stamped flag: 19 markets, provenance only

allocation only: the exit path is the emitted one at every fraction (the runner's protection re-arms on the TP1 touch, not on the size banked); costs are the emitted commission — spread and slippage ride in the leg prices. Rows without a tp1 leg price the same at every fraction.

=== FIT ===
| class | filled | tp1 rows | no-tp1 rows | shipped R (½) | banked half | runner half | costs | no-tp1 R | R(0) | R(0.25) | R(0.5) | R(0.75) | R(1) | best f | Δ best vs ½ |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| agriculture | 2512 | 1327 | 1185 | -353.0 | 326.1 | 366.2 | -84.4 | -960.9 | -312.9 | -332.9 | -353.0 | -373.0 | -393.1 | 0 | 40.1 |
| crypto | 21392 | 15239 | 6153 | 442.8 | 3594.9 | 3138.7 | -623.7 | -5667.2 | -13.4 | 214.7 | 442.8 | 670.9 | 899.0 | 1 | 456.2 |
| energies | 577 | 237 | 340 | -115.9 | 95.6 | 104.1 | -40.6 | -275.1 | -107.4 | -111.7 | -115.9 | -120.2 | -124.5 | 0 | 8.6 |
| forex | 174503 | 117860 | 56643 | -94.7 | 24086.1 | 27382.7 | -3840.4 | -47723.1 | 3201.9 | 1553.6 | -94.7 | -1743.0 | -3391.4 | 0 | 3296.6 |
| futures | 9237 | 4710 | 4527 | -1195.2 | 1146.8 | 1194.7 | -119.2 | -3417.5 | -1147.2 | -1171.2 | -1195.2 | -1219.2 | -1243.2 | 0 | 48.0 |
| indices | 280 | 132 | 148 | -14.9 | 26.6 | 29.0 | -3.1 | -67.5 | -12.5 | -13.7 | -14.9 | -16.1 | -17.3 | 0 | 2.4 |
| livestock | 340 | 205 | 135 | -11.6 | 56.5 | 66.9 | -6.9 | -128.0 | -1.2 | -6.4 | -11.6 | -16.8 | -22.0 | 0 | 10.4 |
| metals | 5497 | 3207 | 2290 | -502.8 | 650.8 | 771.2 | -67.5 | -1857.3 | -382.4 | -442.6 | -502.8 | -563.0 | -623.2 | 0 | 120.4 |
| **pooled** | 214338 | 142917 | 71421 | -1845.4 | 29983.3 | 33053.6 | -4785.8 | -60096.5 | 1224.9 | -310.2 | -1845.4 | -3380.5 | -4915.7 | 0 | 3070.3 |

=== SELECT ===
| class | filled | tp1 rows | no-tp1 rows | shipped R (½) | banked half | runner half | costs | no-tp1 R | R(0) | R(0.25) | R(0.5) | R(0.75) | R(1) | best f | Δ best vs ½ |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| agriculture | 1263 | 651 | 612 | -149.4 | 169.3 | 191.4 | -42.3 | -467.8 | -127.3 | -138.3 | -149.4 | -160.5 | -171.6 | 0 | 22.2 |
| crypto | 43085 | 26320 | 16765 | -6550.0 | 5490.1 | 5983.3 | -1369.2 | -16654.2 | -6056.8 | -6303.4 | -6550.0 | -6796.6 | -7043.3 | 0 | 493.2 |
| energies | 298 | 125 | 173 | -60.1 | 50.6 | 55.6 | -23.8 | -142.5 | -55.0 | -57.6 | -60.1 | -62.7 | -65.2 | 0 | 5.1 |
| forex | 78932 | 55144 | 23788 | 1603.8 | 11307.9 | 12408.1 | -2106.9 | -20005.2 | 2704.0 | 2153.9 | 1603.8 | 1053.7 | 503.6 | 0 | 1100.2 |
| futures | 5020 | 2788 | 2232 | -310.7 | 719.6 | 717.0 | -59.3 | -1688.0 | -313.4 | -312.0 | -310.7 | -309.4 | -308.0 | 1 | 2.7 |
| indices | 613 | 338 | 275 | -94.8 | 69.7 | 78.0 | -20.6 | -221.8 | -86.5 | -90.6 | -94.8 | -98.9 | -103.1 | 0 | 8.3 |
| livestock | 170 | 93 | 77 | -0.5 | 28.6 | 39.6 | -2.0 | -66.7 | 10.5 | 5.0 | -0.5 | -6.0 | -11.5 | 0 | 11.0 |
| metals | 2507 | 1538 | 969 | -118.4 | 317.3 | 352.8 | -19.7 | -768.8 | -82.9 | -100.6 | -118.4 | -136.1 | -153.9 | 0 | 35.5 |
| **pooled** | 131888 | 86997 | 44891 | -5680.1 | 18153.0 | 19825.7 | -3643.8 | -40015.0 | -4007.3 | -4843.7 | -5680.1 | -6516.4 | -7352.8 | 0 | 1672.8 |
