CONTROL — forex all-years dR at cap 0.15 must equal frozen 563.6595 (fit) / 306.1525 (select)
  fit    dR  +563.6595
  select dR  +306.1525
CONTROL — forex contained select at cap 0.15 must equal the tracked split: dR +353.7, kept E -0.0193
  dR +353.7  kept E -0.0193 lo95 -0.0248

| class | fold | bucket | cap | kept fills | net R | dR vs no cap | E | lo95 | earns money? |
| --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | --- |
| agriculture | fit | contained | 0.05 | 4 | +0.1 | +353.1 | +0.0195 | -0.7316 | no |
| agriculture | fit | contained | 0.075 | 29 | +6.6 | +359.6 | +0.2286 | +0.0734 | YES |
| agriculture | fit | contained | 0.1 | 116 | +2.5 | +355.4 | +0.0211 | -0.0942 | no |
| agriculture | fit | contained | 0.125 | 290 | -9.2 | +343.8 | -0.0316 | -0.1051 | no |
| agriculture | fit | contained | 0.15 | 452 | -6.3 | +346.6 | -0.0140 | -0.0749 | no |
| agriculture | fit | contained | 0.2 | 898 | -37.9 | +315.1 | -0.0422 | -0.0884 | no |
| agriculture | fit | contained | 0.3 | 1484 | -103.0 | +250.0 | -0.0694 | -0.1058 | no |
| agriculture | fit | contained | none | 2512 | -353.0 | +0.0 | -0.1405 | -0.1740 | no |
| agriculture | select | contained | 0.05 | 2 | +0.0 | +149.4 | +0.0062 | -0.0826 | no |
| agriculture | select | contained | 0.075 | 10 | -1.1 | +148.3 | -0.1142 | -0.4289 | no |
| agriculture | select | contained | 0.1 | 50 | -0.1 | +149.3 | -0.0015 | -0.2093 | no |
| agriculture | select | contained | 0.125 | 117 | +12.2 | +161.6 | +0.1041 | -0.0170 | no |
| agriculture | select | contained | 0.15 | 204 | +6.9 | +156.3 | +0.0340 | -0.0702 | no |
| agriculture | select | contained | 0.2 | 406 | -18.9 | +130.5 | -0.0467 | -0.1185 | no |
| agriculture | select | contained | 0.3 | 766 | -27.9 | +121.5 | -0.0364 | -0.0984 | no |
| agriculture | select | contained | none | 1263 | -149.4 | +0.0 | -0.1183 | -0.1654 | no |
| crypto | fit | contained | 0.05 | 464 | +46.7 | +165.8 | +0.1006 | +0.0397 | YES |
| crypto | fit | contained | 0.075 | 968 | +85.1 | +204.3 | +0.0880 | +0.0431 | YES |
| crypto | fit | contained | 0.1 | 1323 | +109.5 | +228.6 | +0.0827 | +0.0435 | YES |
| crypto | fit | contained | 0.125 | 1541 | +94.4 | +213.5 | +0.0613 | +0.0240 | YES |
| crypto | fit | contained | 0.15 | 1705 | +84.5 | +203.6 | +0.0495 | +0.0135 | YES |
| crypto | fit | contained | 0.2 | 1872 | +83.2 | +202.3 | +0.0444 | +0.0094 | YES |
| crypto | fit | contained | 0.3 | 1987 | +80.6 | +199.7 | +0.0406 | +0.0059 | YES |
| crypto | fit | contained | none | 2308 | -119.1 | +0.0 | -0.0516 | -0.0861 | no |
| crypto | select | contained | 0.05 | 1968 | +48.0 | +4409.1 | +0.0244 | -0.0034 | no |
| crypto | select | contained | 0.075 | 6192 | -11.7 | +4349.4 | -0.0019 | -0.0183 | no |
