corpus 021821537f28 · engine 2026.09.01.platinum-group-rate-inverse · anchor 2026-08-26 · variant baseline
folds read: fit, select · confirm: SEALED, not read (2141527 rows withheld at the door)
rows 6634732: 346226 decomposed · 857954 not accepted · 0 in other folds · 3118950 other variants · 75920 unfilled · 442 data-absent · 93713 held out
holdout: stratified-per-class-20pct — 20 markets excluded from every class pool (pinned docs/research/r4/holdout-2026-08-26.json); stamped flag: 19 markets, provenance only

wins = take_profit + tp1_partial; stops = stop_loss; rest = expiries and ambiguous, held fixed when the break-even is solved. payoff = mean win / |mean stop|, realised. break-even = the win share at which expectancy is zero at that payoff and that rest.

=== FIT ===
| class | filled | net R | gross R | E (net) | mean win | mean stop | payoff | win share | break-even | rest share | rest mean | planned RR | ladder RR |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| agriculture | 2512 | -353.0 | -40.3 | -0.1405 | 0.458 | -1.073 | 0.427 | 52.7% | 61.9% | 14.6% | -0.217 | 1.60 | 0.86 |
| crypto | 21392 | 442.8 | 2350.3 | 0.0207 | 0.401 | -1.020 | 0.393 | 71.2% | 69.7% | 3.9% | -0.257 | 1.97 | 1.10 |
| energies | 577 | -115.9 | -98.4 | -0.2009 | 0.671 | -1.178 | 0.570 | 41.1% | 51.9% | 23.1% | -0.234 | 1.47 | 1.01 |
| forex | 174503 | -94.7 | 3356.9 | -0.0005 | 0.404 | -1.033 | 0.391 | 67.5% | 67.5% | 7.9% | -0.242 | 1.86 | 1.09 |
| futures | 9237 | -1195.2 | -729.8 | -0.1294 | 0.472 | -0.948 | 0.498 | 50.9% | 60.0% | 13.3% | -0.231 | 1.90 | 1.09 |
| indices | 280 | -14.9 | -11.1 | -0.0533 | 0.398 | -1.024 | 0.389 | 47.1% | 50.9% | 38.9% | -0.253 | 2.01 | 1.16 |
| livestock | 340 | -11.6 | -5.6 | -0.0341 | 0.570 | -0.996 | 0.572 | 60.0% | 62.2% | 4.7% | -0.516 | 1.83 | 1.08 |
| metals | 5497 | -502.8 | -108.0 | -0.0915 | 0.422 | -1.019 | 0.414 | 58.3% | 64.6% | 10.9% | -0.212 | 1.61 | 0.90 |
| **pooled** | 214338 | -1845.4 | 4714.2 | -0.0086 | 0.408 | -1.028 | 0.397 | 66.6% | 67.2% | 8.0% | -0.240 | 1.86 | 1.09 |

| class | outcome | n | share | mean net R | mean gross R | mean forgone runner R |
| --- | --- | ---: | ---: | ---: | ---: | ---: |
| agriculture | tp1_partial | 1117 | 44.5% | 0.3083 | 0.3231 | 0.2699 |
| agriculture | stop_loss | 821 | 32.7% | -1.0728 | -0.7462 | 0.0000 |
| agriculture | expired_at_loss | 277 | 11.0% | -0.3046 | -0.1246 | 0.0000 |
| agriculture | take_profit | 208 | 8.3% | 1.2640 | 1.1189 | 0.3018 |
| agriculture | expired_in_profit | 78 | 3.1% | 0.1749 | 0.2117 | 0.0000 |
| agriculture | ambiguous | 11 | 0.4% | -0.7933 | -0.3001 | 0.1505 |
| crypto | tp1_partial | 14551 | 68.0% | 0.3569 | 0.3716 | 0.1704 |
| crypto | stop_loss | 5343 | 25.0% | -1.0201 | -0.7164 | 0.0000 |
| crypto | take_profit | 673 | 3.1% | 1.3553 | 1.2490 | 0.2599 |
| crypto | expired_at_loss | 572 | 2.7% | -0.3228 | -0.1491 | 0.0000 |
| crypto | expired_in_profit | 178 | 0.8% | 0.1746 | 0.2516 | 0.0000 |
| crypto | ambiguous | 75 | 0.4% | -0.7743 | -0.3924 | 0.2376 |
| energies | tp1_partial | 218 | 37.8% | 0.6363 | 0.6417 | 0.0912 |
| energies | stop_loss | 207 | 35.9% | -1.1784 | -1.1172 | 0.0000 |
| energies | expired_at_loss | 96 | 16.6% | -0.4083 | -0.3731 | 0.0000 |
| energies | expired_in_profit | 37 | 6.4% | 0.2178 | 0.2498 | 0.0000 |
| energies | take_profit | 19 | 3.3% | 1.0752 | 1.0299 | 0.1177 |
| forex | tp1_partial | 112910 | 64.7% | 0.3735 | 0.3756 | 0.1013 |
| forex | stop_loss | 42902 | 24.6% | -1.0335 | -0.9638 | 0.0000 |
| forex | expired_at_loss | 10173 | 5.8% | -0.3354 | -0.3002 | 0.0000 |
| forex | take_profit | 4844 | 2.8% | 1.1189 | 1.0654 | 0.1785 |
| forex | expired_in_profit | 3211 | 1.8% | 0.1245 | 0.1455 | 0.0000 |
| forex | ambiguous | 463 | 0.3% | -0.7204 | -0.6093 | 0.2340 |
| futures | tp1_partial | 4303 | 46.6% | 0.3983 | 0.4052 | 0.1780 |
| futures | stop_loss | 3302 | 35.7% | -0.9477 | -0.8352 | 0.0000 |
| futures | expired_at_loss | 871 | 9.4% | -0.3322 | -0.2386 | 0.0000 |
| futures | take_profit | 399 | 4.3% | 1.2656 | 1.1679 | 0.2386 |
