corpus 021821537f28 · engine 2026.09.01.platinum-group-rate-inverse · anchor 2026-08-26
folds read: fit 2009-09-25..2025-03-14 · select 2018-03-11..2025-12-04 · confirm: SEALED, not read
rows: 6634732 total · 3635251 accepted in the folds read · 1418391 not accepted (skipped) · 1581090 in other folds (not read) · 966862 on held-out markets (per-market lines only)
thin floor: 30 filled

## Per class × variant — held-out markets excluded, folds pooled

| class | variant | n | filled | dataAbsent | tp1 hit | stop | net E | ±SE clustered (k) | gross E | net total R | gross total R | flag |
| --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | --- |
| agriculture | baseline | 6021 | 4246 | 46 | 53.3% | 31.5% | -0.135 | ±0.031 (5) | 0.019 | -573.4 | 86.2 |  |
| agriculture | runnerProtection=breakeven,stopStructureSource=intraday | 6021 | 4246 | 46 | 53.3% | 31.5% | -0.143 | ±0.031 (5) | -0.001 | -607.9 | -4.3 |  |
| agriculture | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 6230 | 4362 | 48 | 53.7% | 33.2% | -0.158 | ±0.032 (5) | -0.006 | -690.8 | -29.0 |  |
| agriculture | runnerProtection=hold,stopStructureSource=intraday | 6021 | 4246 | 46 | 53.3% | 31.5% | -0.144 | ±0.027 (5) | 0.009 | -612.9 | 40.7 |  |
| agriculture | runnerProtection=hold,stopStructureSource=intraday_and_daily | 6230 | 4362 | 48 | 53.7% | 33.2% | -0.155 | ±0.027 (5) | 0.004 | -678.0 | 17.9 |  |
| agriculture | runnerProtection=trail_tp1,stopStructureSource=intraday | 6021 | 4246 | 46 | 53.3% | 31.5% | -0.133 | ±0.031 (5) | 0.025 | -563.1 | 114.8 |  |
| agriculture | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 6230 | 4362 | 48 | 53.7% | 33.2% | -0.147 | ±0.032 (5) | 0.025 | -642.2 | 115.9 |  |
| crypto | baseline | 86130 | 72674 | 6 | 66.4% | 29.9% | -0.065 | ±0.028 (24) | 0.028 | -4725.5 | 2080.9 |  |
| crypto | runnerProtection=breakeven,stopStructureSource=intraday | 86130 | 72674 | 6 | 66.4% | 29.9% | -0.096 | ±0.025 (24) | -0.004 | -7004.6 | -297.3 |  |
| crypto | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 86945 | 73316 | 6 | 66.8% | 29.9% | -0.095 | ±0.025 (24) | -0.002 | -6942.7 | -114.1 |  |
| crypto | runnerProtection=hold,stopStructureSource=intraday | 86130 | 72674 | 6 | 66.4% | 29.9% | -0.082 | ±0.026 (24) | 0.011 | -5957.7 | 843.1 |  |
| crypto | runnerProtection=hold,stopStructureSource=intraday_and_daily | 86945 | 73316 | 6 | 66.8% | 29.9% | -0.080 | ±0.026 (24) | 0.015 | -5831.5 | 1091.9 |  |
| crypto | runnerProtection=trail_tp1,stopStructureSource=intraday | 86130 | 72674 | 6 | 66.4% | 29.9% | -0.060 | ±0.026 (24) | 0.034 | -4367.0 | 2532.5 |  |
| crypto | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 86945 | 73316 | 6 | 66.8% | 29.9% | -0.058 | ±0.026 (24) | 0.037 | -4271.2 | 2731.9 |  |
| energies | baseline | 1048 | 875 | 0 | 41.4% | 35.8% | -0.201 | — | -0.164 | -176.1 | -145.4 |  |
| energies | runnerProtection=breakeven,stopStructureSource=intraday | 1048 | 875 | 0 | 41.4% | 35.8% | -0.226 | — | -0.182 | -197.7 | -162.0 |  |
| energies | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 1329 | 1098 | 1 | 42.0% | 36.2% | -0.224 | — | -0.186 | -246.0 | -207.4 |  |
| energies | runnerProtection=hold,stopStructureSource=intraday | 1048 | 875 | 0 | 41.4% | 35.8% | -0.224 | — | -0.181 | -196.3 | -161.0 |  |
| energies | runnerProtection=hold,stopStructureSource=intraday_and_daily | 1329 | 1098 | 1 | 42.0% | 36.2% | -0.218 | — | -0.178 | -239.5 | -198.9 |  |
| energies | runnerProtection=trail_tp1,stopStructureSource=intraday | 1048 | 875 | 0 | 41.4% | 35.8% | -0.201 | — | -0.164 | -176.1 | -145.4 |  |
| energies | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 1329 | 1098 | 1 | 42.0% | 36.2% | -0.199 | — | -0.163 | -218.1 | -182.3 |  |
| forex | baseline | 252522 | 218364 | 218 | 68.8% | 23.7% | 0.013 | ±0.006 (19) | 0.037 | 2896.9 | 8047.8 |  |
| forex | runnerProtection=breakeven,stopStructureSource=intraday | 252522 | 218364 | 218 | 68.8% | 23.7% | -0.023 | ±0.004 (19) | 0.001 | -5010.5 | 113.4 |  |
| forex | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 256081 | 221235 | 219 | 70.1% | 24.3% | -0.025 | ±0.004 (19) | 0.000 | -5430.3 | 80.4 |  |
| forex | runnerProtection=hold,stopStructureSource=intraday | 252522 | 218364 | 218 | 68.8% | 23.7% | -0.016 | ±0.005 (19) | 0.008 | -3440.8 | 1732.0 |  |
| forex | runnerProtection=hold,stopStructureSource=intraday_and_daily | 256081 | 221235 | 219 | 70.1% | 24.3% | -0.017 | ±0.005 (19) | 0.008 | -3726.8 | 1847.8 |  |
| forex | runnerProtection=trail_tp1,stopStructureSource=intraday | 252522 | 218364 | 218 | 68.8% | 23.7% | 0.013 | ±0.006 (19) | 0.037 | 2896.9 | 8047.8 |  |
| forex | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 256081 | 221235 | 219 | 70.1% | 24.3% | 0.015 | ±0.006 (19) | 0.039 | 3225.1 | 8767.1 |  |
| futures | baseline | 20893 | 16446 | 8 | 52.2% | 34.2% | -0.101 | ±0.028 (16) | -0.042 | -1666.9 | -710.6 |  |
| futures | runnerProtection=breakeven,stopStructureSource=intraday | 20893 | 16446 | 8 | 52.2% | 34.2% | -0.110 | ±0.027 (16) | -0.053 | -1813.5 | -887.5 |  |
| futures | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 21305 | 16734 | 9 | 52.8% | 35.0% | -0.112 | ±0.027 (16) | -0.052 | -1873.8 | -890.8 |  |
| futures | runnerProtection=hold,stopStructureSource=intraday | 20893 | 16446 | 8 | 52.2% | 34.2% | -0.109 | ±0.026 (16) | -0.051 | -1785.8 | -851.7 |  |
| futures | runnerProtection=hold,stopStructureSource=intraday_and_daily | 21305 | 16734 | 9 | 52.8% | 35.0% | -0.108 | ±0.027 (16) | -0.047 | -1812.0 | -804.6 |  |
| futures | runnerProtection=trail_tp1,stopStructureSource=intraday | 20893 | 16446 | 8 | 52.2% | 34.2% | -0.094 | ±0.025 (16) | -0.034 | -1544.6 | -570.1 |  |
| futures | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 21305 | 16734 | 9 | 52.8% | 35.0% | -0.095 | ±0.026 (16) | -0.032 | -1589.9 | -544.6 |  |
| indices | baseline | 681 | 594 | 62 | 46.1% | 26.3% | -0.167 | ±0.091 (4) | -0.125 | -99.3 | -75.5 |  |
| indices | runnerProtection=breakeven,stopStructureSource=intraday | 681 | 594 | 62 | 46.1% | 26.3% | -0.173 | ±0.089 (4) | -0.131 | -103.0 | -79.6 |  |
| indices | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 684 | 597 | 63 | 46.6% | 27.5% | -0.178 | ±0.087 (4) | -0.136 | -106.2 | -83.1 |  |
| indices | runnerProtection=hold,stopStructureSource=intraday | 681 | 594 | 62 | 46.1% | 26.3% | -0.186 | ±0.099 (4) | -0.138 | -110.3 | -83.4 |  |
| indices | runnerProtection=hold,stopStructureSource=intraday_and_daily | 684 | 597 | 63 | 46.6% | 27.5% | -0.189 | ±0.097 (4) | -0.141 | -112.7 | -85.7 |  |
| indices | runnerProtection=trail_tp1,stopStructureSource=intraday | 681 | 594 | 62 | 46.1% | 26.3% | -0.149 | ±0.083 (4) | -0.102 | -88.6 | -62.0 |  |
| indices | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 684 | 597 | 63 | 46.6% | 27.5% | -0.153 | ±0.081 (4) | -0.107 | -91.5 | -65.4 |  |
| livestock | baseline | 1044 | 772 | 12 | 58.0% | 38.1% | -0.205 | ±0.149 (3) | -0.062 | -158.1 | -48.4 |  |
| livestock | runnerProtection=breakeven,stopStructureSource=intraday | 1044 | 772 | 12 | 58.0% | 38.1% | -0.205 | ±0.149 (3) | -0.062 | -158.1 | -48.4 |  |
| livestock | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 1044 | 772 | 12 | 58.0% | 38.1% | -0.205 | ±0.149 (3) | -0.062 | -158.1 | -48.4 |  |
| livestock | runnerProtection=hold,stopStructureSource=intraday | 1044 | 772 | 12 | 58.3% | 38.1% | -0.273 | ±0.167 (3) | -0.114 | -210.6 | -89.9 |  |
| livestock | runnerProtection=hold,stopStructureSource=intraday_and_daily | 1044 | 772 | 12 | 58.3% | 38.1% | -0.273 | ±0.167 (3) | -0.114 | -210.6 | -89.9 |  |
| livestock | runnerProtection=trail_tp1,stopStructureSource=intraday | 1044 | 772 | 12 | 58.0% | 38.1% | -0.206 | ±0.146 (3) | 0.025 | -159.0 | 19.6 |  |
| livestock | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 1044 | 772 | 12 | 58.0% | 38.1% | -0.206 | ±0.146 (3) | 0.025 | -159.0 | 19.6 |  |
| metals | baseline | 10120 | 8004 | 11 | 59.2% | 30.0% | -0.078 | — | 0.004 | -621.2 | 31.5 |  |
| metals | runnerProtection=breakeven,stopStructureSource=intraday | 10120 | 8004 | 11 | 59.2% | 30.0% | -0.093 | — | -0.015 | -745.1 | -120.4 |  |
| metals | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | 10380 | 8169 | 11 | 60.0% | 30.8% | -0.097 | — | -0.014 | -795.0 | -119.2 |  |
| metals | runnerProtection=hold,stopStructureSource=intraday | 10120 | 8004 | 11 | 59.2% | 30.0% | -0.101 | — | -0.022 | -807.6 | -180.0 |  |
| metals | runnerProtection=hold,stopStructureSource=intraday_and_daily | 10380 | 8169 | 11 | 60.0% | 30.8% | -0.104 | — | -0.021 | -845.9 | -171.9 |  |
| metals | runnerProtection=trail_tp1,stopStructureSource=intraday | 10120 | 8004 | 11 | 59.2% | 30.0% | -0.078 | — | 0.004 | -621.2 | 31.5 |  |
| metals | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | 10380 | 8169 | 11 | 60.0% | 30.8% | -0.080 | — | 0.005 | -651.2 | 38.1 |  |

## Per class × variant × fold — held-out markets excluded

| class | variant | fold | n | filled | tp1 hit | net E | ±SE | gross E | net total R |
| --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| agriculture | baseline | fit | 4051 | 2835 | 53.6% | -0.137 | ±0.015 | 0.016 | -388.5 |
| agriculture | baseline | select | 1970 | 1411 | 52.5% | -0.131 | ±0.029 | 0.024 | -185.0 |
| agriculture | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 4172 | 2899 | 54.2% | -0.156 | ±0.016 | -0.009 | -453.2 |
| agriculture | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 2058 | 1463 | 52.8% | -0.162 | ±0.031 | -0.000 | -237.6 |
| agriculture | runnerProtection=breakeven,stopStructureSource=intraday | fit | 4051 | 2835 | 53.7% | -0.144 | ±0.016 | -0.006 | -407.1 |
| agriculture | runnerProtection=breakeven,stopStructureSource=intraday | select | 1970 | 1411 | 52.4% | -0.142 | ±0.029 | 0.010 | -200.8 |
| agriculture | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 4172 | 2899 | 54.2% | -0.144 | ±0.017 | 0.007 | -416.1 |
| agriculture | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 2058 | 1463 | 52.8% | -0.179 | ±0.034 | -0.002 | -262.0 |
| agriculture | runnerProtection=hold,stopStructureSource=intraday | fit | 4051 | 2835 | 53.7% | -0.133 | ±0.017 | 0.010 | -378.3 |
| agriculture | runnerProtection=hold,stopStructureSource=intraday | select | 1970 | 1411 | 52.4% | -0.166 | ±0.032 | 0.006 | -234.5 |
| agriculture | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 4172 | 2899 | 54.1% | -0.147 | ±0.015 | 0.022 | -427.5 |
| agriculture | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 2058 | 1463 | 52.8% | -0.147 | ±0.031 | 0.031 | -214.7 |
| agriculture | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 4051 | 2835 | 53.6% | -0.135 | ±0.015 | 0.024 | -383.1 |
| agriculture | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 1970 | 1411 | 52.5% | -0.128 | ±0.029 | 0.027 | -180.0 |
| crypto | baseline | fit | 29822 | 24665 | 73.0% | 0.048 | ±0.004 | 0.127 | 1194.5 |
| crypto | baseline | select | 56308 | 48009 | 63.0% | -0.123 | ±0.003 | -0.023 | -5919.9 |
| crypto | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 30160 | 24922 | 73.2% | -0.012 | ±0.004 | 0.066 | -311.0 |
| crypto | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 56785 | 48394 | 63.5% | -0.137 | ±0.003 | -0.036 | -6631.7 |
| crypto | runnerProtection=breakeven,stopStructureSource=intraday | fit | 29822 | 24665 | 73.0% | -0.012 | ±0.004 | 0.066 | -294.8 |
| crypto | runnerProtection=breakeven,stopStructureSource=intraday | select | 56308 | 48009 | 63.0% | -0.140 | ±0.003 | -0.040 | -6709.8 |
| crypto | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 30160 | 24922 | 73.3% | 0.031 | ±0.005 | 0.112 | 764.1 |
| crypto | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 56785 | 48394 | 63.5% | -0.136 | ±0.004 | -0.035 | -6595.6 |
| crypto | runnerProtection=hold,stopStructureSource=intraday | fit | 29822 | 24665 | 73.1% | 0.029 | ±0.005 | 0.110 | 717.1 |
| crypto | runnerProtection=hold,stopStructureSource=intraday | select | 56308 | 48009 | 63.0% | -0.139 | ±0.004 | -0.039 | -6674.8 |
| crypto | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 30160 | 24922 | 73.2% | 0.055 | ±0.004 | 0.134 | 1373.4 |
| crypto | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 56785 | 48394 | 63.5% | -0.117 | ±0.003 | -0.014 | -5644.6 |
| crypto | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 29822 | 24665 | 73.0% | 0.055 | ±0.004 | 0.134 | 1353.4 |
| crypto | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 56308 | 48009 | 63.0% | -0.119 | ±0.003 | -0.017 | -5720.3 |
| energies | baseline | fit | 693 | 577 | 41.1% | -0.201 | ±0.035 | -0.153 | -115.9 |
| energies | baseline | select | 355 | 298 | 41.9% | -0.202 | ±0.049 | -0.184 | -60.1 |
| energies | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 881 | 727 | 42.4% | -0.226 | ±0.032 | -0.178 | -164.3 |
| energies | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 448 | 371 | 41.2% | -0.220 | ±0.046 | -0.201 | -81.7 |
| energies | runnerProtection=breakeven,stopStructureSource=intraday | fit | 693 | 577 | 41.1% | -0.230 | ±0.035 | -0.174 | -132.9 |
| energies | runnerProtection=breakeven,stopStructureSource=intraday | select | 355 | 298 | 41.9% | -0.217 | ±0.050 | -0.198 | -64.7 |
| energies | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 881 | 727 | 42.4% | -0.216 | ±0.033 | -0.165 | -157.3 |
| energies | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 448 | 371 | 41.2% | -0.221 | ±0.047 | -0.203 | -82.2 |
| energies | runnerProtection=hold,stopStructureSource=intraday | fit | 693 | 577 | 41.1% | -0.228 | ±0.036 | -0.172 | -131.4 |
| energies | runnerProtection=hold,stopStructureSource=intraday | select | 355 | 298 | 41.9% | -0.218 | ±0.051 | -0.200 | -64.8 |
| energies | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 881 | 727 | 42.4% | -0.191 | ±0.032 | -0.148 | -138.5 |
| energies | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 448 | 371 | 41.2% | -0.215 | ±0.045 | -0.192 | -79.6 |
| energies | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 693 | 577 | 41.1% | -0.201 | ±0.035 | -0.153 | -115.9 |
| energies | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 355 | 298 | 41.9% | -0.202 | ±0.049 | -0.184 | -60.1 |
| forex | baseline | fit | 173419 | 150296 | 68.0% | 0.006 | ±0.002 | 0.028 | 947.3 |
| forex | baseline | select | 79103 | 68068 | 70.6% | 0.029 | ±0.002 | 0.055 | 1949.6 |
| forex | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 175003 | 151531 | 68.9% | -0.028 | ±0.002 | -0.006 | -4300.2 |
| forex | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 81078 | 69704 | 72.5% | -0.016 | ±0.002 | 0.013 | -1130.1 |
| forex | runnerProtection=breakeven,stopStructureSource=intraday | fit | 173419 | 150296 | 68.0% | -0.026 | ±0.002 | -0.004 | -3869.3 |
| forex | runnerProtection=breakeven,stopStructureSource=intraday | select | 79103 | 68068 | 70.6% | -0.017 | ±0.002 | 0.011 | -1141.2 |
| forex | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 175003 | 151531 | 69.0% | -0.022 | ±0.002 | 0.001 | -3369.4 |
| forex | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 81078 | 69704 | 72.5% | -0.005 | ±0.003 | 0.025 | -357.4 |
| forex | runnerProtection=hold,stopStructureSource=intraday | fit | 173419 | 150296 | 68.0% | -0.020 | ±0.002 | 0.002 | -2987.7 |
| forex | runnerProtection=hold,stopStructureSource=intraday | select | 79103 | 68068 | 70.6% | -0.007 | ±0.003 | 0.021 | -453.1 |
| forex | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 175003 | 151531 | 69.0% | 0.006 | ±0.002 | 0.029 | 877.9 |
| forex | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 81078 | 69704 | 72.6% | 0.034 | ±0.002 | 0.063 | 2347.2 |
| forex | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 173419 | 150296 | 68.0% | 0.006 | ±0.002 | 0.028 | 947.3 |
| forex | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 79103 | 68068 | 70.6% | 0.029 | ±0.002 | 0.055 | 1949.6 |
| futures | baseline | fit | 13832 | 10719 | 50.5% | -0.126 | ±0.007 | -0.066 | -1348.0 |
| futures | baseline | select | 7061 | 5727 | 55.3% | -0.056 | ±0.010 | 0.002 | -318.9 |
| futures | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 14127 | 10928 | 51.2% | -0.135 | ±0.007 | -0.074 | -1475.1 |
| futures | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 7178 | 5806 | 55.7% | -0.069 | ±0.010 | -0.010 | -398.7 |
| futures | runnerProtection=breakeven,stopStructureSource=intraday | fit | 13832 | 10719 | 50.6% | -0.136 | ±0.007 | -0.077 | -1453.8 |
| futures | runnerProtection=breakeven,stopStructureSource=intraday | select | 7061 | 5727 | 55.3% | -0.063 | ±0.010 | -0.007 | -359.7 |
| futures | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 14127 | 10928 | 51.2% | -0.135 | ±0.008 | -0.071 | -1471.2 |
| futures | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 7178 | 5806 | 55.8% | -0.059 | ±0.012 | -0.002 | -340.7 |
| futures | runnerProtection=hold,stopStructureSource=intraday | fit | 13832 | 10719 | 50.5% | -0.137 | ±0.008 | -0.077 | -1465.9 |
| futures | runnerProtection=hold,stopStructureSource=intraday | select | 7061 | 5727 | 55.4% | -0.056 | ±0.012 | -0.002 | -319.9 |
| futures | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 14127 | 10928 | 51.2% | -0.119 | ±0.007 | -0.056 | -1296.3 |
| futures | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 7178 | 5806 | 55.7% | -0.051 | ±0.010 | 0.014 | -293.6 |
| futures | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 13832 | 10719 | 50.5% | -0.118 | ±0.007 | -0.058 | -1269.5 |
| futures | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 7061 | 5727 | 55.3% | -0.048 | ±0.010 | 0.011 | -275.1 |
| indices | baseline | fit | 232 | 195 | 44.6% | -0.038 | ±0.040 | -0.025 | -7.4 |
| indices | baseline | select | 449 | 399 | 46.9% | -0.230 | ±0.036 | -0.173 | -91.9 |
| indices | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 235 | 198 | 46.0% | -0.059 | ±0.041 | -0.047 | -11.7 |
